Carpark,LotType,CarparkID,Latitude,Longitude,Agency,Weekday,Saturdays,Sundays.PublicHolidays,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_basement,sheltered
Suntec City,C,,1.29298,103.85704,,"7am-5pm: $2.20 for 1st hr, $1.10 for sub ½ hr; 5pm-7am: $2.20/entry",7am-5pm: $1.10/hour; 5pm-7am $2.80/entry,Same as Saturday,,,,,,,Y
Marina Square,C,,1.29206,103.85768,,"Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per sub ½ hr; 5pm-2am: $2.20/entry, 2am-7am: $1.10/½ hr; Friday: 7am-2am: $2.40 for 1st 2 hrs, $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr",Same as Friday,Same as Friday,,,,,,,Y
Raffles City,C,,1.29308,103.852852,,8am-6pm: $2.20 for 1st hr; $0.55 for sub. 15mins 6pm-8am next day: $3 per entry,"$2.20 for 1st 2hrs, $0.40 for sub. 15mins for 3rd and 4th hr, $0.60 for sub. 15mins for 5th hr onwards.",Same as Saturday,,,,,,,Y
The Esplanade,C,,1.28993,103.855003,,6am-6pm: $2.20 per hr. 6pm-10pm: $6.50 per entry; Aft 10pm-6am: $2.20 per entry,Same as weekdays,Same as weekdays,,,,,,,Y
Millenia Singapore,C,,1.29438,103.858772,,7am-6pm: $3.30 for 1st hr; $1.10 for sub ½ hr. 6pm-7am next day: $2.20 per entry,7am to 7am next day: $2.20 for 1st 2hrs; $1.10 for sub. hr,Same as Saturday,,,,,,,Y
Singapore Flyer,C,,1.28944,103.849983,,"6am-6pm: $2 per hr, 6pm-12am:$2 per entry, 12am-6am: $2 per entry",6am-6pm: $2 per hr or part thereof. 6pm-Midnight: $2 per hr or part thereof. Midnight-6am: $2 per entry.,Same as Saturday,,,,,,,Y
VivoCity P3,C,,1.26504,103.821762,,7am-6pm: $1.20 for 1st hr; $0.60 for sub ½ hr 6.01pm-4am: $3 per entry; 4am-7am: $2.50 per hr,7am-6pm: $1.40 for 1st hr; $0.70 for sub. ½ hr; 6.01pm-4am: $3.50 per entry; Aft 4am-7am: $2.50 per hr,Same as Saturday,,,,,,,Y
Sentosa,C,,1.249404,103.830322,,"7am to 5pm: $1.20 per hour, 5pm to 7am: $2.40 per entry",Same as weekdays,Same as weekdays,,,,,,,N
Harbourfront Centre,C,,1.26426,103.81974,,7am-6pm: $1.40 for 1st hr; $0.70 for sub. ½ hr 6pm-1am: $2.60 per entry; 1am-7am: $2.04 per hr,Same as weekdays,Same as weekdays,,,,,,,Y
VivoCity P2,C,,1.26504,103.821762,,7am-6pm: $1.20 for 1st hr; $0.60 for sub. ½ hr 6pm-4am: $3 per entry; Aft 4am-7am: $2.50 per hr,7am-6pm: $1.40 for 1st hr; $0.70 for sub. ½ hr; 6.01pm-4am: $3.50 per entry; Aft 4am-7am: $2.50 per hr,Same as Saturday,,,,,,,Y
Far East Plaza,C,,1.3073,103.833282,,8am-5pm: $1.61 for 1st hr; $1.07 for sub. ½ hr Aft 5pm: $3.53 per entry.,Same as weekdays,$4.07 for first 3 hrs or part thereof; $1.07 for sub ½ hour or part thereof.,,,,,,,Y
Tang Plaza,C,,1.30507,103.833076,,"6am-6pm: $2.00 for 1st hr, $0.05/min up to a maximum charge of $18.00 6pm-6am the following day: $6/entry",Same as weekdays,Same as weekdays,,,,,,,Y
Wheelock Place,C,,1.30499,103.831261,,8am-5.30pm: $3 for 1st hr; $1.50 for sub. ½ hr. 5.30pm-8am next day: $4.50 per entry,Same as weekdays,Same as weekdays,,,,,,,Y
Ngee Ann City,C,,1.3018,103.834976,,"12.01am-12pm, 2.01pm-5pm: $1.28 every 30 mins or part thereof , 12.01pm-2pm: $1.82 every 30 mins or part thereof 5.01pm-7pm: $1.82 every 30 mins or part thereof; Aft 7pm: $4.28 per entry","12.01am-12pm, 2.01pm-5pm: $2.57 for 1st hr; $1.61 every sub 30 mins or part thereof, 12.01pm-2pm, 5.01pm-7pm: $3.64 for 1st hr; $2.14 every sub 30 mins or part thereof, Aft 7pm: $4.28 per entry",Same as Saturday,,,,,,,Y
Mandarin Hotel,C,,1.30356,103.834801,,Mon-Thu: 7am-5pm: $2.20 for 1st 2hrs; $1.10 per ½ hr for sub. ½ hr (Car Park at Marina Square) Mon-Thu: 5pm-2am: $2.20 per entry; 2am-7am: $1.10 per ½ hr for sub. ½ hr,Fri-Sun/PH: 7am-2am :$2.40 for 1st 2hrs; $1.20 per hr for sub. 2hrs; $1.40 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.10 per ½ hr for sub. ½ hr,Same as Saturday,,,,,,,Y
Cineleisure,C,,1.3015,103.836639,,7am-4.59pm: $2.40 for 1st hr; $1.40 for sub. 30 mins 5pm-6.59am: 0.04/min,7am-10.59am: $4.80 per entry. 11am-7.59pm: $2.50 per hr. 8pm-6.59am: $0.05/min.,Same as Saturday,,,,,,,Y
Centrepoint,C,,1.3016,103.839912,,7am-5pm: $2 for 1st hr; $1.50 for sub. ½ hr or part thereof. 5pm-7am: $2 for 1st hr; $1.50 for sub. hr or part thereof.,7am-5pm: $2 for 1st hr or part thereof; $1.50 for sub. ½ hr or part thereof. 5pm-7am: $2 for 1st hr or part thereof; $1.50 for sub.hr or part thereof.,Same as Saturday,,,,,,,Y
313@Somerset,C,,1.3005,103.838287,,"7am-10.59am: $2.57 for 1st hr, $1.28 for sub. 30 mins; 11am-10.59pm: $3 for 1st hr, $1.28 for sub. 30 mins. 11pm-6.59am: $2.57 for 1st hr, $1.28 for sub. 30 mins.",Same as weekdays,Same as weekdays,,,,,,,Y
Orchard Point,C,,1.30126,103.840553,,"7am-11pm: $1.50 for 1st one hr, $1.00 per subsequent ½ hr 11pm-7am: $2.00 per ½ hr or part thereof",Same as weekdays,Same as weekdays,,,,,,,Y
Concorde Hotel,C,,1.30103,103.842133,,7am-6pm: $2.14 for 1st hr; $1.39 for sub. ½ hr Aft 6pm: $3.75 per entry,Same as weekdays,$3.75 per entry,,,,,,,Y
Plaza Singapura,C,,1.30003,103.844742,,Mon-Thurs: 12am-5.59pm: $1.60 for 1st hr; $0.50 for sub. 15mins; Fri & Eve of PH: $1.60 for 1st hr; $0.50 for sub. 15mins Mon-Thu: 6pm-11.59pm: $3 per entry; Fri & Eve of PH: 6pm-2.59am (the next day): $3 per entry,3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins; Aft 6pm: $3 per entry,3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins. 6pm-11.59pm: $3 per entry,,,,,,,Y
The Cathay,C,,1.29919,103.847809,,8am-9:59am: $1.40 per 30 mins; 10am-5:59pm: $1.40 per hr 6pm-7.59am: $3 per entry,8am-5.59pm: $1.40 per hour; 6pm-7.59am: $3 per entry,Same as Saturday,,,,,,,Y
ION Orchard,C,,1.30434,103.83195,,Mon-Thu: 8am-4.59pm: $2.67 for 1st hr; $1.28 for sub. 30mins or part thereof. Mon-Thu: 5pm-11.59pm: $3 per entry. 12am-7.59am $1.07 per hr or part thereof.,Fri: 8am-5.59pm: $2.56 for 1st hr; $1.88 for sub. 30mins or part thereof. 6-11.59pm: $3.74 per entry. 12am-7.59am $1.07 per hour or part thereof.,Same as Saturday,,,,,,,Y
Wisma Atria,C,,1.30368,103.8329,,"$2.50 for 1st hr, $1.20 for sub. ½ hr (Lunch hr surcharge of additional $1.07 between 12pm-2pm daily) Aft 5pm: $3.50/entry","$2.40 for 1st hr, $1.50 for sub. ½ hr, aft 5pm-7am: $3.50/entry.",Same as Saturday,,,,,,,Y
The Heeren,C,,1.30356,103.834801,,8am-11pm: $1.61 per ½ hr ,"8am-11pm: $5.35 for 1st 3hr, $1.61 for next sub ½ hr",Same as Saturday,,,,,,,Y
Resorts World Sentosa,C,,1.25495,103.820312,,Mon - Thurs: $6 per entry. Fri: $9 per entry,Same as Friday,Same as Friday,,,,,,,Y
Orchard Central,C,,1.30065,103.840363,,"12am-5.59pm: $3.10 for 1st ½ hr or part thereof, $1.50 for every sub ½ hr or part thereof. 6pm-11.59pm: $5.03 for 1st 2 ½ hr or part thereof, $1.82 for every sub ½ hr or part thereof","12am-11.59pm: $5.03 for 1st 2 ½ hr or part thereof, $1.82 for every sub ½ hr or part thereof",Same as Saturday,,,,,,,Y
Marina Bay Sands,C,,1.2821,103.858543,,7am-7pm: $7.49 for 1st hr; $1.07 for sub. ½ hr; (Capped at $27.82 every 24hrs) Mon to Thurs: Aft 7pm: $7.49 per entry; Fri: $8.56 per entry,"Sat, Sun & Eve of PH: 7am-7pm: $8.56 for 1st hr; $1.07 for sub. ½ hr; Aft 7pm: $8.56 per entry",Same as Saturday,,,,,,,Y
Westgate,C,,1.33429,103.742538,,Daily: $1.30 for 1st hr; $0.50 for sub. 15 mins 6pm - 11.59pm: $2.50 per entry,Same as weekdays,Same as weekdays,,,,,,,Y
Holiday Inn,C,,1.288997,103.834122,,"7am-5pm: $1.93 per hr, aft 5pm: $3.85 per entry",Same as weekdays,$3.85 per entry,,,,,,,Y
Orchard Gateway,C,,1.3007,103.838867,,12am-5.59pm: $3.21 for 1st 1½ hrs or part thereof; $1.61 for sub. ½ hr or part thereof. 6pm-11.59pm: $5.14 for 1st 2½ hrs or part thereof; $1.93 for sub. ½ hr or part thereof.,$5.14 for 1st 2½ hrs or part thereof; $1.93 for sub. ½ hr or part thereof.,Same as Saturday,,,,,,,Y
IMM Building,C,,1.33768,103.741837,,Free for 1st hr for first entry only. 2nd hr of 1st entry or 1st hr of sub same-day entry $1.07; $0.30 for sub. 15 mins. ,$1.07 for 1st 2hrs for first entry only. 3rd hr of 1st enttry or 1st hr of sub same day entry $1.07; $0.30 for sub. 15 mins.,Same as Saturday,,,,,,,Y
JCube,C,,1.33325,103.740211,,3.30am-5.59pm: $1.30 for 1st hr; sub 15 mins or part thereof: $0.40. 6pm-3.29am: $2.50 per entry,Same as weekdays,Same as weekdays,,,,,,,Y
Paragon,C,,1.304335,103.836174,,3am-4.59pm: $2.90 for 1st hr; $1.50 for sub. ½ hr. Peak Hr Surcharge of $2 from 11am to 3pm. 5pm-2.59am: $4.50 per entry.,Same as weekdays,3am-4.59pm: $2.90 for 1st hr; $1.50 for sub. ½ hr. 5pm-2.59am: $4.50 per entry.,,,,,,,Y
National Gallery,C,,1.29114,103.852493,,7am-6pm: $1.30 per half hour 6pm-1am: $3.20 per entry,Same as weekdays,Same as weekdays,,,,,,,Y
The Atrium@Orchard,C,,1.29978,103.845558,,Mon-Thurs: 12am-5.59pm: $1.60 for 1st hr; $0.50 for sub. 15mins; Fri & Eve of PH: $1.60 for 1st hr; $0.50 for sub. 15mins Mon-Thu: 6pm-11.59pm: $3 per entry; Fri: 6pm-2.59am (the next day): $3 per entry,3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins; Aft 6pm: $3 per entry,3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins. 6pm-11.59pm: $3 per entry,,,,,,,Y
Bukit Panjang Plaza,C,,1.37995,103.76432,,"12am to 5.59pm :$1.28 for 1st hr, $0.43 for sub. 15 mins or part thereof. 6pm-11.59pm: $2.57 per entry.","12am to 5.59pm :$2.57 for 1st 2 hrs, $0.43 for sub 15 mins or part thereof. 6pm-11.59pm: $2.57 per entry",Same as Saturday,,,,,,,Y
Clarke Quay,C,,1.29198,103.845291,,7am-12.29pm; 1.30pm-5pm: $1.28 for 1st hr; $0.43 for sub. 15 mins (2.30pm-1.29pm Free parking ) 5pm-6.59am: $1.28 for 1st hr; $0.43 for sub. 15 mins (Capped at $6.42 aft 5pm),7am-6.59am: $1.28 for 1st hr; $0.43 for sub. 15 mins (Capped at $6.42 aft 5pm),7am-6.59am: $2.68 per entry,,,,,,,Y
The Star Vista,C,,1.30691,103.788338,,"6am-11.59pm:$1.30 for 1st hr, $0.65 for sub. 30 mins or part thereof. $1.30 for 1st hr, $0.65 for sub. 30 mins or part thereof.",Sat & PH: Same as wkdays,"Sun:6am-11.59pm: $2.14 for 1st hr, $1.07 for sub. 30 mins or part thereof.",,,,,,,Y
Bugis+,C,,1.29991,103.853889,,8am-5.59pm: $1.28 for 1st hr; $0.54 for sub. 15 mins. Mon-Thu: 6pm-7.59am: $3.21 per entry; Fri: $3.21 for 1st 2hrs; $0.54 for sub. 15 mins.,$3.21 for 1st 2hrs; $0.54 for sub. 15 mins.,Same as Saturday,,,,,,,Y
Lot One,C,,1.38166,103.740318,,"12am-5.59pm: $1.28 for 1st hr; $0.43 for sub. 15 mins Mon-Thurs, 6pm-11.59pm: $2.57 per entry. Fri & Eve of PH, 6pm-2.59am: $2.57 per entry",3am-5.59pm: $2.57 for 1st 2-hrs; $0.43 for sub. 15 mins. 6pm-2.59am: $2.57 per entry,3am-5.59pm: $2.57 for 1st 2-hrs; $0.43 for sub. 15 mins. 6pm-11.59am: $2.57 per entry,,,,,,,Y
Tampines Mall,C,,1.35298,103.944946,,12am-5.59pm: $1.28 for 1st hr; $0.43 for sub. 15mins or part thereof. Mon-Thu: 6pm-11.59pm: $2.57 per entry; Fri & Eve of PH: 6pm-2.59am: $2.57 per entry,3am-5.59pm: $2.57 for 1st 2hrs; $0.43 for sub. 15mins or part thereof; 6pm-11.59pm: $2.57 per entry,3am-5.59pm: $2.57 for 1st 2hrs; $0.43 for sub. 15mins or part thereof. 6pm-11.59pm: $2.57 per entry,,,,,,,Y
Junction 8,C,,1.35051,103.848999,,12am-5.59pm - $1.28 for 1st hr; $0.43 for sub. 15 mins Mon-Thu: 6pm-11.59pm: $2.57 per entry; Fri/Eve of PH: 6pm-2.59am: $2.57 per entry,3am-5.59pm: $2.57 for 1st 2hrs; $0.43 for sub. 15 mins; 6pm-2.59am: $2.57 per entry,3am-5.59pm: $2.57 for 1st 2hrs; $0.43 for sub. 15 mins; 6pm-11.59pm: $2.57 per entry,,,,,,,Y
Bedok Mall,C,,1.32466,103.932381,,"$1.50 for 1st hr, $0.40 for sub. 15 mins ",Same as weekdays,Same as weekdays,,,,,,,Y
Funan Mall,C,,1.29528,103.85321,,"2.49am-6pm: $2.35 for 1st hr, $0.64 for sub 15min. 6pm-2.59am: $3.21 per entry.","2.49am-6pm: $2.35 for 1st 2 hr, $0.64 for sub 15min. 6pm-2.59am: $3.21 per entry.",Same as Saturday,,,,,,,Y
ANGULLIA PARK OFF STREET,C,A0007,1.305328031,103.8295707,URA,"7am-11am: $1.30 / 30 min, 11am-5pm: $1.50 / 30 min, 5pm-10.30pm: $0.80 / 30 min, 10.30pm-7am: $0.70 / 30 min, 10.30pm-7am: $0.70 / 30 min (cap at $5.60)",Same as weekdays,Same as weekdays,,,,,,,N
ANGULLIA PARK OFF STREET,Y,A0007,1.305328031,103.8295707,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
ARMENIAN STREET OFF STREET,C,A0011,1.293926044,103.8488661,URA,"7am-11am: $1.20 / 30 min, 11am-2pm: $1.40 / 30 min, 2pm-5pm: $1.40 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
AMOY STREET OFF STREET,C,A0021,1.280790423,103.8471773,URA,"8.30am-5pm: $1.20 / 30 min, 5pm-10pm: $0.60 / 30 min",Same as weekdays,Same as weekdays,,,,,,,N
ADAM ROAD FOOD CENTRE OFF STREET,C,A0024,1.324165125,103.8138991,URA,08.30am-10pm: $0.60 / 30 min,Same as weekdays,Same as weekdays,,,,,,,N
ALJUNIED ROAD OFF STREET,C,A0046,1.313892837,103.8817882,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min",Same as weekdays,Same as weekdays,,,,,,,N
BEATTY ROAD OFF STREET,C,B0031,1.314111031,103.8596054,URA,08.30am-10pm: $0.60 / 30 min,Same as weekdays,Same as weekdays,,,,,,,N
BUKIT TIMAH MARKET OFF STREET,C,B0032,1.33908893,103.7763963,URA,"7am-11am: $0.60 / 30 min, 11am-2pm: $0.70 / 30 min, 2pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)","7am-11am: $0.70 / 30 min, 11am-2pm: $0.70 / 30 min, 2pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as Saturday,,,,,,,N
BUKIT BATOK NATURE PARK OFF STREET,C,B0063,1.347395231,103.761481,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min",Same as weekdays,Same as weekdays,,,,,,,N
BAGHDAD STREET OFF STREET,C,B0087,1.301303407,103.8603752,URA,"7am-11am: $0.60 / 30 min, 11am-5pm: $0.75 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
BEDOK ROAD FOOD CENTRE OFF STREET,C,B0088,1.320882494,103.9552145,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
BUKIT TIMAH LINK OFF STREET,C,B0096,1.341334554,103.7768692,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
CEYLON ROAD OFF STREET,C,C0119,1.309854976,103.8994331,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
CARPENTER STREET OFF STREET,C,C0133,1.288265761,103.8481829,URA,"7am-11am: $1.20 / 30 min, 11am-2pm: $1.50 / 30 min, 2pm-5pm: $1.50 / 30 min, 5pm-10.30pm: $0.75 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,"7am-2pm: $0.60 / 30 min, 2pm-5pm: $0.75 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
CLEMENCEAU AVENUE NORTH (NEWTON FC),C,C0148,1.311099802,103.8397544,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
CLEMENCEAU AVENUE OFF STREET,C,C0162,1.293973246,103.8445168,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,"7am-5pm: $0.60 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",,,,,,,N
CLEMENCEAU AVENUE OFF STREET,Y,C0162,1.293973246,103.8445168,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
DUXTON HILL OFF STREET,C,D0006,1.279121361,103.8430767,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,"7am-5pm: $0.60 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",,,,,,,N
DICKSON ROAD OFF STREET,Y,D0026,1.305896128,103.8535673,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
DICKSON ROAD OFF STREET,C,D0026,1.305896128,103.8535673,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min min",Same as weekdays,Same as weekdays,,,,,,,N
DELTA CIRCUS FRINGE CAR PARK,C,D0028,1.2893051,103.8246544,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
EAST COAST PARK E3 OFF STREET,C,E0023,1.308648775,103.9362443,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
EAST COAST PARK E3 OFF STREET,Y,E0023,1.308648775,103.9362443,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
EAST COAST PARK E2 OFF STREET,C,E0024,1.307348456,103.9358221,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
EAST COAST PARK E2 OFF STREET,Y,E0024,1.307348456,103.9358221,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
EAST COAST PARK E1 OFF STREET,C,E0027,1.306893521,103.9299929,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
EAST COAST PARK E1 OFF STREET,Y,E0027,1.306893521,103.9299929,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
HAMILTON ROAD OFF STREET,C,H0003,1.311622872,103.861796,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,C,H0004,1.311937726,103.7926606,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
HOLLAND DRIVE OFF STREET,C,H0011,1.310694737,103.7932077,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
HINDOO ROAD OFF STREET,C,H0015,1.308590132,103.854066,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
HULLET ROAD OFF STREET,C,H0022,1.303200409,103.839043,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
HONG LIM PARK OFF STREET,C,H0024,1.286401071,103.8473268,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,C,H0057,1.307959413,103.854498,URA,08.30am-10pm: $0.60 / 30 min,Same as weekdays,Same as weekdays,,,,,,,N
JOO CHIAT ROAD OFF STREET,Y,J0017,1.308931279,103.903426,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
JOO CHIAT ROAD OFF STREET,C,J0017,1.308931279,103.903426,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
JALAN SEH CHUAN OFF STREET,C,J0055,1.341607297,103.7749835,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
JALAN KURAS OFF STREET,C,J0092,1.373316429,103.8290274,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
JALAN PELEPAH OFF STREET,C,J0100,1.274071068,103.7955153,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
JALAN PELEPAH OFF STREET,Y,J0100,1.274071068,103.7955153,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
JALAN KAYU OFF STREET,C,J0122,1.398870248,103.8729802,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
KING GEORGES AVENUE OFF STREET,C,K0037,1.310287532,103.861555,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
KING GEORGES AVENUE/ HORNE ROAD OFF STREET,C,K0039,1.310011718,103.8619525,URA,"7am-11am: $0.60 / 30 min, 11am-5pm: $0.75 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)","7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as Saturday,,,,,,,N
KAMPONG BUGIS OFF STREET,C,K0082,1.3060644,103.8673152,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
KAMPONG BUGIS OFF STREET,Y,K0082,1.3060644,103.8673152,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
KINTA ROAD OFF STREET,C,K0111,1.309743437,103.8532569,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
KINTA ROAD OFF STREET,Y,K0111,1.309743437,103.8532569,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
KAMPONG KAPOR ROAD OFF STREET,Y,K0121,1.306579164,103.8540518,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
KAMPONG KAPOR ROAD OFF STREET,C,K0121,1.306579164,103.8540518,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 21 GEYLANG OFF STREET,C,L0064,1.313841892,103.8798421,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG MYDIN OFF STREET,C,L0078,1.319157962,103.9118781,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG BEKUKONG OFF STREET,C,L0104,1.390211413,103.9873209,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG BEKUKONG OFF STREET,Y,L0104,1.390211413,103.9873209,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG BACHOK OFF STREET,C,L0107,1.313731253,103.8794415,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
